serial_number,brand,campus
c02x830jh7jy,iMac,1
c02xd4v3h7jy,iMac,1
c02xf3d3h7jy,iMac,1
c02xf4rdh7jy,iMac,1
c02xg0f9h7jy,iMac,1
c02xg0grh7jy,iMac,1
c02xg0sth7jy,iMac,1
c02xj5vlh7jy,iMac,1
c02xj8txh7jy,iMac,1
c02xk0s7h7jy,iMac,1
c02xk2hdh7jy,iMac,1
c02xm7v4h7jy,iMac,1
c02xm7y2h7jy,iMac,1
c02xn3rnh7jy,iMac,1
c02xn3tyh7jy,iMac,1
c02xn3uvh7jy,iMac,1
c02xn415h7jy,iMac,1
c02xn42gh7jy,iMac,1
c02xn44fh7jy,iMac,1
c02xn44hh7jy,iMac,1
c02xn466h7jy,iMac,1
c02xn46th7jy,iMac,1
c02xn474h7jy,iMac,1
c02xp25eh7jy,iMac,1
PF17VG81,LENOVO,1
PF0IWAP4,LENOVO,1
PF1ENWUR,LENOVO,1
PF1837KF,LENOVO,1
PF18SSJK,LENOVO,1
PF1EHPWS,LENOVO,1
PF1832ZU,LENOVO,1
PF1E80HY,LENOVO,1
PF0HXFCA,LENOVO,1
PF17V6HS,LENOVO,1
PF183FSU,LENOVO,1
PF0HZYWF,LENOVO,1
MP1JA22X,LENOVO,1
MP1JA251,LENOVO,1
MP1JYE82,LENOVO,1
MP1JA24G,LENOVO,1
MP1JAFXQ,LENOVO,1
MP1JA26Z,LENOVO,1
MP1JA09H,LENOVO,1
MP1JAG2A,LENOVO,1
MP1JA5X9,LENOVO,1
MP1JA093,LENOVO,1
MP1JVSKE,LENOVO,1
MP1JA26C,LENOVO,1
MP1J9QQV,LENOVO,1
MP1JA09A,LENOVO,1
MP1J9QQA,LENOVO,1
MP1JA275,LENOVO,1
MP1JX68V,LENOVO,1
MP1JK1CE,LENOVO,1
MP1JD3CF,LENOVO,1
MP1JAAYM,LENOVO,1
MP1JA24N,LENOVO,1
MP1JX1DY,LENOVO,1
MP1JAHZK,LENOVO,1
MP1JAFYQ,LENOVO,1
MP1JAFZ8,LENOVO,1
MP1KL3PT,LENOVO,1
MP1KGVSH,LENOVO,1
MP1KGNXV,LENOVO,1
MP1KH5SJ,LENOVO,1
MP1KL1KS,LENOVO,1
MP1KGR1J,LENOVO,1
MP1KGP2V,LENOVO,1
MP1KGXFA,LENOVO,1
MP1KL5R5,LENOVO,1
MP1KGR2S,LENOVO,1
MP1KGTAE,LENOVO,1
MP1KWDW,LENOVO,1
MP1KGR2Z,LENOVO,1
MP1KL3PH,LENOVO,1
MP1KGR2H,LENOVO,1
MP1KL3QG,LENOVO,1
MP1KGNRT,LENOVO,1
PF0HYQ2S,LENOVO,1
PF0HXFCA,LENOVO,1
PF0IWAFX,LENOVO,1
PF0HYVLJ,LENOVO,1
PF0HWUKV,LENOVO,1
PF0HXKPC,LENOVO,1
PF0HSF99,LENOVO,1
PF0HZYWF,LENOVO,1
PF0IWA4P,LENOVO,1
PF0HV1TW,LENOVO,1
PF0HZXMG,LENOVO,1
PF0HZZKQ,LENOVO,1
PH0IJ536,LENOVO,1
PF1NQ4HA,LENOVO,2
PF1NMQL6,LENOVO,2
PF1NMQKT,LENOVO,2
PF1NMQNA,LENOVO,2
PF1NQ4GG,LENOVO,2
PF1NMQNR,LENOVO,2
PF1NQ4GP,LENOVO,2
PF1NQ6P2,LENOVO,2
PF1NQ6PS,LENOVO,2
PF1NQ8WR,LENOVO,2
PF1NQ8VR,LENOVO,2
PF1NQ8X8,LENOVO,2
PF1NMQP4,LENOVO,2
PF1NQ6RG,LENOVO,2
PF1NQ6RW,LENOVO,2
PF1NQ8V2,LENOVO,2
PF1NMQNK,LENOVO,2
PF1NQ4HP,LENOVO,2
PF1NQ8V8,LENOVO,2
PF1NQ4HF,LENOVO,2
PF1NMQM1,LENOVO,2
PF1NQ6N2,LENOVO,2
PF1NMQL0,LENOVO,2
PF1NMQMT,LENOVO,2
PF1NQ6Q1,LENOVO,2
PF1NQ4HW,LENOVO,2
PF1NQ8WJ,LENOVO,2
PF1NQ6QX,LENOVO,2
PF1NQ6PA,LENOVO,2
PF1NQ6R6,LENOVO,2
PF1NQ6S4,LENOVO,2
PF1NQ8VG,LENOVO,2
PF1NQ8WG,LENOVO,2
PF1NQ8T9,LENOVO,2
PF1NQ8T9,LENOVO,2
PF0HYUKV,LENOVO,1